domain,name,expr,cost_class,r,degree,width,c_osc,c_composite,delta_fused,is_pfaffian_not_eml,source
thermo,entropy of mixing,-k*(x*log(x) + (1 - x)*log(1 - x)),p1-d6-w1-c0,1,6,1,0,0,0,0,v8-new
thermo,Gibbs free energy difference,E - S*T,p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
thermo,vapor pressure Clausius-Clapeyron,exp(-E/(T*k)),p1-d3-w0-c0,1,3,0,0,0,0,0,v8-new
em,Coulomb force,e_charge**2/(4*pi*eps_0*r**2),p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
em,Larmor power,a**2*e_charge**2/(6*pi*c**3*eps_0),p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
em,skin depth,sqrt(2)/(sqrt(mu_0)*sqrt(omega)*sqrt(sigma)),p1-d2-w4-c0,1,2,4,0,0,0,0,v8-new
em,EM wave Poynting,c*e_charge*cos(k*x - omega*t),p2-d6-w1-c1,2,6,1,1,0,0,0,v8-new
em,magnetic dipole moment,A*I*n,p0-d1-w0-c0,0,1,0,0,0,0,0,v8-new
em,wavelength frequency,c/lam,p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
em,RC charging,v*(1 - exp(-t/(C*r))),p1-d6-w1-c0,1,6,1,0,0,0,0,v8-new
em,RLC oscillation,amp*exp(-beta_t*t)*sin(omega*t),p2-d5-w1-c1,2,5,1,1,0,0,0,v8-new
fluid,Reynolds number,L*v/nu,p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
fluid,Bernoulli,p + rho*v**2/2,p0-d3-w0-c0,0,3,0,0,0,0,0,v8-new
fluid,Stokes drag,6*pi*nu*r*v,p0-d1-w0-c0,0,1,0,0,0,0,0,v8-new
fluid,Poiseuille flow,pi*dp*r**4/(8*L*nu),p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
fluid,Mach number squared,v**2/c**2,p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
fluid,Kolmogorov scale,nu**(3/4)/eps_kol**(1/4),p1-d2-w2-c0,1,2,2,0,0,0,0,v8-new
fluid,wave speed shallow,sqrt(g_grav)*sqrt(h),p1-d2-w2-c0,1,2,2,0,0,0,0,v8-new
fluid,vortex tangential,Gamma/(2*pi*r),p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
stats,Gaussian PDF,sqrt(2)*exp(-(-mu + x)**2/(2*sigma**2))/(2*sqrt(pi)*sigma),p1-d6-w3-c0,1,6,3,0,0,0,0,v8-new
stats,exponential PDF,lam*exp(-lam*x),p1-d3-w1-c0,1,3,1,0,0,0,0,v8-new
stats,Poisson PMF,lam**k*exp(-lam),p1-d3-w1-c0,1,3,1,0,0,0,0,v8-new
stats,logistic CDF,1/(1 + exp(-x)),p1-d1-w1-c0,1,1,1,0,0,1,0,v8-new
stats,Beta moment,a/(a + b),p0-d3-w0-c0,0,3,0,0,0,0,0,v8-new
stats,Cauchy PDF,1/(pi*(x**2 + 1)),p0-d4-w0-c0,0,4,0,0,0,0,0,v8-new
stats,Gumbel PDF,exp(-x - exp(-x)),p2-d5-w1-c0,2,5,1,0,0,0,0,v8-new
stats,Weibull PDF,k*x**(k - 1)*exp(-x**k),p2-d4-w1-c0,2,4,1,0,0,0,0,v8-new
info,Shannon entropy term,-p*log(p),p1-d2-w1-c0,1,2,1,0,0,0,0,v8-new
info,binary entropy,-p*log(p) - (1 - p)*log(1 - p),p1-d5-w1-c0,1,5,1,0,0,0,0,v8-new
info,Renyi entropy term,log(p**a),p2-d2-w0-c0,2,2,0,0,0,0,0,v8-new
info,Tsallis entropy term,(-p + p**q)/(1 - q),p1-d4-w1-c0,1,4,1,0,0,0,0,v8-new
info,Fisher information element,1/(p*(1 - p)),p0-d4-w0-c0,0,4,0,0,0,0,0,v8-new
info,channel capacity (binary),p*log(p) + (1 - p)*log(1 - p) + 1,p1-d5-w1-c0,1,5,1,0,0,0,0,v8-new
info,rate-distortion exp,exp(-D/R),p1-d3-w0-c0,1,3,0,0,0,0,0,v8-new
info,Wasserstein 1D,Abs(x - y),p0-d3-w0-c0,0,3,0,0,0,0,0,v8-new
quantum,free-particle plane wave,exp(I*(k*x - omega*t)),p1-d4-w0-c0,1,4,0,0,0,0,0,v8-new
quantum,Gaussian wavepacket,exp(-(-mu + x)**2/(2*sigma**2)),p1-d5-w0-c0,1,5,0,0,0,0,0,v8-new
quantum,harmonic oscillator energy,hbar*omega*(n + 1/2),p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
quantum,Bohr radius,hbar**2/(e_charge**2*m),p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
quantum,Bose occupation,1/(exp(hbar*omega/(T*k)) - 1),p1-d3-w1-c0,1,3,1,0,0,1,0,v8-new
quantum,Fermi occupation,1/(exp((E - mu)/(T*k)) + 1),p1-d4-w1-c0,1,4,1,0,0,1,0,v8-new
quantum,tunneling exponential,exp(-kappa*x),p1-d2-w0-c0,1,2,0,0,0,0,0,v8-new
quantum,Larmor precession,omega*cos(omega*t),p2-d5-w1-c1,2,5,1,1,0,0,0,v8-new
econ,Cobb-Douglas,A*x**a*y**(1 - a),p1-d4-w1-c0,1,4,1,0,0,0,0,v8-new
econ,CES production,(x**rho + y**rho)**(1/rho),p2-d3-w1-c0,2,3,1,0,0,0,0,v8-new
econ,logistic growth,k/(1 + exp(-r*(t - t0))),p1-d5-w1-c0,1,5,1,0,0,0,0,v8-new
econ,Black-Scholes d1 form,(T*(r + sigma**2/2) + log(x/k))/(sqrt(T)*sigma),p1-d6-w1-c0,1,6,1,0,0,0,0,v8-new
econ,demand elasticity exp,a*exp(-eta*x),p1-d3-w1-c0,1,3,1,0,0,0,0,v8-new
econ,compound interest,p*exp(r*t),p1-d3-w1-c0,1,3,1,0,0,0,0,v8-new
econ,Gini area integral,-2*A/B + 1,p0-d3-w0-c0,0,3,0,0,0,0,0,v8-new
econ,Phillips curve,a - b*log(x),p1-d3-w1-c0,1,3,1,0,0,0,0,v8-new
ecology,logistic carrying capacity,r*x*(1 - x/k),p0-d4-w0-c0,0,4,0,0,0,0,0,v8-new
ecology,Lotka-Volterra prey,a*x - b*x*y,p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
ecology,Holling type II,a*x/(h*x + 1),p0-d4-w0-c0,0,4,0,0,0,0,0,v8-new
ecology,Allee effect,r*x*(-1 + x/A)*(1 - x/k),p0-d4-w0-c0,0,4,0,0,0,0,0,v8-new
ecology,Ricker recruit,x*exp(r*(1 - x/k)),p1-d6-w1-c0,1,6,1,0,0,0,0,v8-new
ecology,MacArthur diversity,"-Sum(p*log(p), (n, 1, S))",p1-d4-w1-c0,1,4,1,0,0,0,0,v8-new
ecology,Levins model patch,c*x*(1 - x) - e_ext*x,p0-d4-w0-c0,0,4,0,0,0,0,0,v8-new
ecology,May-Wigner stability,sqrt(C)*sqrt(S)*d,p1-d2-w2-c0,1,2,2,0,0,0,0,v8-new
acoustics,harmonic series term,amp*cos(n*omega*t),p2-d5-w1-c1,2,5,1,1,0,0,0,v8-new
acoustics,wave equation phase,cos(k*x - omega*t),p2-d5-w0-c1,2,5,0,1,0,0,0,v8-new
acoustics,decibel,10*log(p/p_ref),p1-d4-w1-c0,1,4,1,0,0,0,0,v8-new
acoustics,Doppler shift,omega*(1 + v/c),p0-d4-w0-c0,0,4,0,0,0,0,0,v8-new
acoustics,ADSR envelope,"Piecewise((t, a_env > t), (exp(-t/d_env), True))",p1-d5-w0-c0,1,5,0,0,0,0,0,v8-new
acoustics,FM synthesis,amp*cos(beta_fm*sin(omega*t) + omega*t),p4-d10-w1-c2,4,10,1,2,0,0,0,v8-new
acoustics,AM synthesis,amp*(cos(omega*t) + 1)*cos(2*omega*t),p2-d6-w1-c1,2,6,1,1,0,0,0,v8-new
acoustics,string mode,amp*sin(pi*n*x/L),p2-d6-w1-c1,2,6,1,1,0,0,0,v8-new
optics,Snell sin ratio,sin(x)/sin(y),p2-d5-w2-c1,2,5,2,1,0,0,0,v8-new
optics,Fresnel reflectance s-polarization,(n - 1)**2/(n + 1)**2,p0-d3-w0-c0,0,3,0,0,0,0,0,v8-new
optics,lens equation reciprocal,1/f - 1/d_o,p0-d3-w0-c0,0,3,0,0,0,0,0,v8-new
optics,Rayleigh scattering,lam**(-4),p0-d1-w0-c0,0,1,0,0,0,0,0,v8-new
optics,Bragg condition,lam*n,p0-d1-w0-c0,0,1,0,0,0,0,0,v8-new
optics,diffraction sinc,lam*sin(pi*a_dif*sin(x)/lam)/(pi*a_dif*sin(x)),p4-d8-w1-c2,4,8,1,2,0,0,0,v8-new
optics,polarization Malus,cos(x)**2,p2-d4-w0-c1,2,4,0,1,0,0,0,v8-new
optics,lens curvature,(n - 1)/R,p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
network,degree distribution power-law,k**(-alpha_pl),p1-d2-w0-c0,1,2,0,0,0,0,0,v8-new
network,clustering coefficient triangle,2*triangles/(k_n*(k_n - 1)),p0-d3-w0-c0,0,3,0,0,0,0,0,v8-new
network,PageRank update,(1 - d_pr)/n + d_pr*x/L,p0-d4-w0-c0,0,4,0,0,0,0,0,v8-new
network,small-world distance,log(n)/log(k_n),p1-d3-w2-c0,1,3,2,0,0,0,0,v8-new
network,Erdos-Renyi edge probability,k/n,p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
network,Kuramoto order parameter,cos(x - y),p2-d5-w0-c1,2,5,0,1,0,0,0,v8-new
network,epidemic SIR β-term,beta_sir*x*y,p0-d1-w0-c0,0,1,0,0,0,0,0,v8-new
network,Watts-Strogatz rewire prob,k_n*p_ws,p0-d1-w0-c0,0,1,0,0,0,0,0,v8-new
crystal,Bragg's law,lam*n/(2*sin(x)),p2-d5-w1-c1,2,5,1,1,0,0,0,v8-new
crystal,lattice plane spacing,a/sqrt(h**2 + kk**2 + l**2),p1-d4-w1-c0,1,4,1,0,0,0,0,v8-new
crystal,Debye-Waller exp,exp(-Bw*sin(x)**2/lam**2),p3-d6-w1-c1,3,6,1,1,0,0,0,v8-new
crystal,structure factor cos,cos(pi*(2*h*x + 2*kk*y + 2*l*z)),p2-d6-w0-c1,2,6,0,1,0,0,0,v8-new
crystal,Madelung constant,"Sum(1/n, (n, 1, oo))",p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
crystal,phonon dispersion,2*J*sin(a*k/2),p2-d5-w1-c1,2,5,1,1,0,0,0,v8-new
crystal,Brillouin zone vector,2*pi/a,p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
crystal,form factor x-ray,exp(-Bw*x**2),p1-d3-w0-c0,1,3,0,0,0,0,0,v8-new
numeric,Newton step,-f/fp + x,p0-d3-w0-c0,0,3,0,0,0,0,0,v8-new
numeric,trapezoid rule term,h*(f0 + f1)/2,p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
numeric,Simpson rule term,h*(f0 + 4*f1 + f2)/3,p0-d3-w0-c0,0,3,0,0,0,0,0,v8-new
numeric,RK4 increment,k1/6 + k2/3 + k3/3 + k4/6,p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
numeric,FFT twiddle,exp(-2*I*pi*k/n),p1-d3-w0-c0,1,3,0,0,0,0,0,v8-new
numeric,convergence rate,C*h**p_conv,p1-d2-w1-c0,1,2,1,0,0,0,0,v8-new
numeric,Aitken acceleration,x - (-x + y)**2/(x - 2*y + z),p0-d5-w0-c0,0,5,0,0,0,0,0,v8-new
numeric,Chebyshev polynomial T2,2*x**2 - 1,p0-d3-w0-c0,0,3,0,0,0,0,0,v8-new
geom,circle area,pi*r**2,p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
geom,sphere volume,4*pi*r**3/3,p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
geom,great-circle distance,acos(sin(x)*sin(y)*cos(z) + cos(x)*cos(y)),p2-d6-w3-c1,2,6,3,1,0,0,0,v8-new
geom,torus area,4*pi**2*R_t*r,p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
geom,Euler characteristic,F - m + n,p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
geom,Gauss-Bonnet integrand,K,p0-d0-w0-c0,0,0,0,0,0,0,0,v8-new
geom,Pythagorean,sqrt(x**2 + y**2),p1-d3-w0-c0,1,3,0,0,0,0,0,v8-new
geom,ellipse circumference approx,pi*(3*x + 3*y - sqrt(x + 3*y)*sqrt(3*x + y)),p1-d6-w1-c0,1,6,1,0,0,0,0,v8-new
pharma,Michaelis-Menten,x*y/(k + x),p0-d3-w0-c0,0,3,0,0,0,0,0,v8-new
pharma,Hill equation,x**n/(k**n + x**n),p1-d4-w1-c0,1,4,1,0,0,0,0,v8-new
pharma,first-order absorption,F*(1 - exp(-k*t)),p1-d5-w1-c0,1,5,1,0,0,0,0,v8-new
pharma,two-compartment exp,A1*exp(-la*t) + A2*exp(-lb*t),p1-d4-w1-c0,1,4,1,0,0,0,0,v8-new
pharma,log-dose response,k*log(x),p1-d2-w1-c0,1,2,1,0,0,0,0,v8-new
pharma,EC50 sigmoid,1/((k/x)**n + 1),p1-d5-w1-c0,1,5,1,0,0,0,0,v8-new
pharma,Schild plot ratio,log(k/x - 1),p1-d4-w0-c0,1,4,0,0,0,0,0,v8-new
pharma,competitive inhibition,x/(k*(y + 1) + x),p0-d5-w0-c0,0,5,0,0,0,0,0,v8-new
geophys,Richter magnitude,log(a_seis),p1-d1-w0-c0,1,1,0,0,0,0,0,v8-new
geophys,Gutenberg-Richter,a - b*x,p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
geophys,tidal force,2*G*M*r/d_tide**3,p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
geophys,buoyancy frequency squared,drho*g_grav/rho,p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
geophys,Rossby number,v/(L*omega),p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
geophys,geothermal gradient,Q/kapp,p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
geophys,earthquake b-value rate,k*exp(-b*x),p1-d3-w1-c0,1,3,1,0,0,0,0,v8-new
geophys,lapse rate exp,T*exp(-z/H),p1-d4-w1-c0,1,4,1,0,0,0,0,v8-new
materials,Young's modulus stress,E*x,p0-d1-w0-c0,0,1,0,0,0,0,0,v8-new
materials,Hooke linear,k*x,p0-d1-w0-c0,0,1,0,0,0,0,0,v8-new
materials,Coffin-Manson fatigue,a/x**c,p1-d3-w1-c0,1,3,1,0,0,0,0,v8-new
materials,Arrhenius rate,A*exp(-E/(T*k)),p1-d4-w1-c0,1,4,1,0,0,0,0,v8-new
materials,Larson-Miller parameter,T*(c_lm + log(t)),p1-d3-w1-c0,1,3,1,0,0,0,0,v8-new
materials,creep strain,A*sig**n*t,p1-d2-w1-c0,1,2,1,0,0,0,0,v8-new
materials,Hall-Petch yield,sig0 + ky/sqrt(d_grain),p1-d3-w1-c0,1,3,1,0,0,0,0,v8-new
materials,Poisson ratio,-x/y,p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
astro,Schwarzschild radius,2*G*M/c**2,p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
astro,Hubble distance,c*z/H0,p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
astro,Chandrasekhar mass,M_chand,p0-d0-w0-c0,0,0,0,0,0,0,0,v8-new
astro,Eddington luminosity,4*pi*G*M*c/kappa_e,p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
astro,Roche limit,M**(1/3)*d_R/m**(1/3),p1-d2-w2-c0,1,2,2,0,0,0,0,v8-new
astro,luminosity distance squared,E/(4*pi*F_flux),p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
astro,redshift factor,z + 1,p0-d1-w0-c0,0,1,0,0,0,0,0,v8-new
astro,Planck spectral radiance,2*c**2*hbar/(lam**5*(exp(c*hbar/(T*k*lam)) - 1)),p1-d4-w1-c0,1,4,1,0,0,0,0,v8-new
control,Laplace exp decay,exp(-s*t),p1-d2-w0-c0,1,2,0,0,0,0,0,v8-new
control,PID error,Kd*z + Ki*y + Kp*x,p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
control,transfer function pole,1/(a + s),p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
control,PID frequency response,I*Kd*omega - I*Ki/omega + Kp,p0-d3-w0-c0,0,3,0,0,0,0,0,v8-new
control,second-order step response,1 - exp(-omega*t*zeta)*cos(omega*t),p2-d6-w1-c1,2,6,1,1,0,0,0,v8-new
control,Nyquist gain margin,1/G,p0-d1-w0-c0,0,1,0,0,0,0,0,v8-new
control,phase margin,atan(omega/a),p1-d3-w0-c0,1,3,0,0,0,0,0,v8-new
control,Bode magnitude (in dB) for first-order,20*log(Kp) - 20*log(sqrt(omega**2*tau**2 + 1)),p2-d7-w2-c0,2,7,2,0,0,0,0,v8-new
vision,Gaussian filter 2D,exp((-x**2 - y**2)/(2*sigma**2)),p1-d5-w0-c0,1,5,0,0,0,0,0,v8-new
vision,Sobel x-derivative element,-2*x + 2*y,p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
vision,histogram of gradients magnitude,sqrt(x**2 + y**2),p1-d3-w0-c0,1,3,0,0,0,0,0,v8-new
vision,SSIM luminance term,2*mu*muy/(c1 + mu**2 + muy**2),p0-d4-w0-c0,0,4,0,0,0,0,0,v8-new
vision,image entropy,-p_pix*log(p_pix),p1-d2-w1-c0,1,2,1,0,0,0,0,v8-new
vision,Hough vote line,x*cos(omega) + y*sin(omega),p2-d5-w1-c1,2,5,1,1,0,0,0,v8-new
vision,PSNR formula,10*log(MAX**2/x),p1-d4-w1-c0,1,4,1,0,0,0,0,v8-new
vision,RANSAC inlier prob,1 - (1 - p_inl)**k_ran,p1-d5-w1-c0,1,5,1,0,0,0,0,v8-new
rl,Bellman update,gamma*y + x,p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
rl,softmax policy,exp(x)/(exp(x) + exp(y)),p1-d2-w2-c0,1,2,2,0,0,0,0,v8-new
rl,TD error,gamma*x + r - y,p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
rl,epsilon-greedy probability,eps_e,p0-d0-w0-c0,0,0,0,0,0,0,0,v8-new
rl,Q-learning loss,(gamma*x + r - y)**2,p0-d3-w0-c0,0,3,0,0,0,0,0,v8-new
rl,discounted return geometric,1/(1 - gamma),p0-d3-w0-c0,0,3,0,0,0,0,0,v8-new
rl,advantage,x - y,p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
rl,policy gradient term,x*log(pi),p1-d2-w1-c0,1,2,1,0,0,0,0,v8-new
optim,gradient descent step,-eta*y + x,p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
optim,momentum update,beta*x - eta*y,p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
optim,Adam first-moment,beta1*x + y*(1 - beta1),p0-d4-w0-c0,0,4,0,0,0,0,0,v8-new
optim,Adam bias correction,x/(1 - beta1**step),p1-d5-w1-c0,1,5,1,0,0,0,0,v8-new
optim,RMSprop second-moment,rho*x + y**2*(1 - rho),p0-d4-w0-c0,0,4,0,0,0,0,0,v8-new
optim,natural-gradient direction,F_inv*y,p0-d1-w0-c0,0,1,0,0,0,0,0,v8-new
optim,trust-region quadratic model,H_hess*x**2/2 + g_grad*x + y,p0-d3-w0-c0,0,3,0,0,0,0,0,v8-new
optim,line-search Wolfe,c1*g_grad*x,p0-d1-w0-c0,0,1,0,0,0,0,0,v8-new
cell-bio,Michaelis-Menten enzyme,Vmax*x/(Km + x),p0-d3-w0-c0,0,3,0,0,0,0,0,v8-new
cell-bio,Hodgkin-Huxley n-gating,alpha_n*(1 - x) - beta_n*x,p0-d4-w0-c0,0,4,0,0,0,0,0,v8-new
cell-bio,FitzHugh-Nagumo cubic,-x**3/3 + x - y,p0-d3-w0-c0,0,3,0,0,0,0,0,v8-new
cell-bio,calcium oscillation cosine,amp*cos(omega*t),p2-d5-w1-c1,2,5,1,1,0,0,0,v8-new
cell-bio,diffusion 1D,D_diff*d2u/dx2,p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
cell-bio,Goldman-Hodgkin-Katz,V_RT*log(x/y),p1-d4-w1-c0,1,4,1,0,0,0,0,v8-new
cell-bio,ATP/ADP ratio,x/y,p0-d2-w0-c0,0,2,0,0,0,0,0,v8-new
cell-bio,exponential growth,n*exp(r*t),p1-d3-w1-c0,1,3,1,0,0,0,0,v8-new
chem,Arrhenius rate,A*exp(-Ea/(T*k)),p1-d4-w1-c0,1,4,1,0,0,0,0,v8-new
chem,Nernst electrode potential,E0 + RT_F*log(x/y),p1-d5-w1-c0,1,5,1,0,0,0,0,v8-new
chem,Beer-Lambert absorbance,L*c_conc*eps_bl,p0-d1-w0-c0,0,1,0,0,0,0,0,v8-new
chem,Lennard-Jones,4*eps_lj*(-sig_lj**6/r**6 + sig_lj**12/r**12),p0-d4-w0-c0,0,4,0,0,0,0,0,v8-new
chem,rate-constant k,A*exp(-Ea/(T*k)),p1-d4-w1-c0,1,4,1,0,0,0,0,v8-new
chem,pH,-log(x),p1-d2-w1-c0,1,2,1,0,0,0,0,v8-new
chem,Henderson-Hasselbalch,pKa + log(x/y),p1-d4-w1-c0,1,4,1,0,0,0,0,v8-new
chem,second-order rate,k*x*y,p0-d1-w0-c0,0,1,0,0,0,0,0,v8-new
noise,Perlin fade,6*t**5 - 15*t**4 + 10*t**3,p0-d3-w0-c0,0,3,0,0,0,0,0,E196_algorithmic
noise,Smoothstep,3*t**2 - 2*t**3,p0-d3-w0-c0,0,3,0,0,0,0,0,E196_algorithmic
noise,Smootherstep (Perlin),6*t**5 - 15*t**4 + 10*t**3,p0-d3-w0-c0,0,3,0,0,0,0,0,E196_algorithmic
noise,Simplex kernel,(1 - t**2)**4,p0-d4-w0-c0,0,4,0,0,0,0,0,E196_algorithmic
noise,1-octave sin,sin(omega*x),p2-d4-w0-c1,2,4,0,1,0,0,0,E196_algorithmic
noise,2-octave fBm,sin(x) + sin(2*x)/2,p2-d6-w1-c1,2,6,1,1,0,0,0,E196_algorithmic
noise,4-octave fBm,sin(x) + sin(2*x)/2 + sin(4*x)/4 + sin(8*x)/8,p2-d6-w1-c1,2,6,1,1,0,0,0,E196_algorithmic
noise,8-octave fBm,sin(x) + sin(2*x)/2 + sin(4*x)/4 + sin(8*x)/8 + sin(16*x)/16 + sin(32*x)/32 + sin(64*x)/64 + sin(128*x)/128,p2-d6-w1-c1,2,6,1,1,0,0,0,E196_algorithmic
noise,Damped noise envelope,exp(-lam*x)*sin(omega*x),p2-d5-w1-c1,2,5,1,1,0,0,0,E196_algorithmic
noise,Worley/cellular distance (1D),sqrt((x - p)**2),p1-d4-w0-c0,1,4,0,0,0,0,0,E196_algorithmic
crypto,RSA encryption (algebraic skeleton),m**e,p1-d1-w0-c0,1,1,0,0,0,0,0,E196_algorithmic
crypto,Diffie-Hellman (algebraic skeleton),g**a,p1-d1-w0-c0,1,1,0,0,0,0,0,E196_algorithmic
crypto,Elliptic curve Weierstrass form,x**3 + a*x + b,p0-d2-w0-c0,0,2,0,0,0,0,0,E196_algorithmic
crypto,EC group law x3,((y2 - y1)/(x2 - x1))**2 - x1 - x2,p0-d5-w0-c0,0,5,0,0,0,0,0,E196_algorithmic
crypto,EC group law y3,((y2 - y1)/(x2 - x1))*(x1 - x3) - y1,p0-d5-w0-c0,0,5,0,0,0,0,0,E196_algorithmic
crypto,MurmurHash3 algebraic core,x*c,p0-d1-w0-c0,0,1,0,0,0,0,0,E196_algorithmic
crypto,ECDSA signature s-value,(z + r*d)/k,p0-d3-w0-c0,0,3,0,0,0,0,0,E196_algorithmic
crypto,Discrete log target,g**x,p1-d1-w0-c0,1,1,0,0,0,0,0,E196_algorithmic
graph,PageRank single-vertex update (per-iteration),(1 - d)/Nv + d*PR_j/L_j,p0-d4-w0-c0,0,4,0,0,0,0,0,E196_algorithmic
graph,"Softmax attention (single key, log-form)",exp(q*k/sqrt(d)),p2-d3-w1-c0,2,3,1,0,0,0,0,E196_algorithmic
graph,Graph Laplacian eigenvalue characteristic,lam**2 - tr*lam + dt,p0-d2-w0-c0,0,2,0,0,0,0,0,E196_algorithmic
graph,Dijkstra relaxation (continuous skeleton),d_u + w,p0-d1-w0-c0,0,1,0,0,0,0,0,E196_algorithmic
graph,Network flow capacity inequality,f - c,p0-d2-w0-c0,0,2,0,0,0,0,0,E196_algorithmic
graph,Watts-Strogatz clustering coefficient law,1/k,p0-d1-w0-c0,0,1,0,0,0,0,0,E196_algorithmic
graph,Barabasi-Albert degree distribution,1/k**3,p0-d1-w0-c0,0,1,0,0,0,0,0,E196_algorithmic
graph,Spectral radius (2x2 closed form),(tr + sqrt(tr**2 - 4*dt))/2,p1-d5-w1-c0,1,5,1,0,0,0,0,E196_algorithmic
signal,DFT basis kernel (real part),cos(2*pi*k*n/Nlen),p2-d5-w0-c1,2,5,0,1,0,0,0,E196_algorithmic
signal,Gaussian window,exp(-n**2/(2*sigma**2)),p1-d3-w0-c0,1,3,0,0,0,0,0,E196_algorithmic
signal,Hann window,(1 - cos(2*pi*n/Nlen))/2,p2-d7-w1-c1,2,7,1,1,0,0,0,E196_algorithmic
signal,Butterworth filter magnitude,1/sqrt(1 + (omega/omega_c)**(2*n)),p2-d5-w1-c0,2,5,1,0,0,0,0,E196_algorithmic
signal,Chebyshev polynomial T_3,4*x**3 - 3*x,p0-d3-w0-c0,0,3,0,0,0,0,0,E196_algorithmic
signal,Sinc function,sin(pi*x)/(pi*x),p2-d5-w1-c1,2,5,1,1,0,0,0,E196_algorithmic
signal,Gabor wavelet,exp(-t**2/(2*sigma**2))*cos(omega*t),p2-d5-w1-c1,2,5,1,1,0,0,0,E196_algorithmic
signal,Morlet wavelet (real part),exp(-t**2/2)*cos(omega_0*t),p2-d5-w1-c1,2,5,1,1,0,0,0,E196_algorithmic
signal,Kaiser window (PNE: Bessel I0),"besseli(0, bp*sqrt(1 - (2*n/Nlen - 1)**2))/besseli(0, bp)",p4-d10-w1-c0,4,10,1,0,0,0,1,E196_algorithmic
signal,Mel scale,"2595*log(1 + f/700, 10)",p1-d4-w2-c0,1,4,2,0,0,0,0,E196_algorithmic
numerical,Newton's method update,x - f/fprime,p0-d3-w0-c0,0,3,0,0,0,0,0,E196_algorithmic
numerical,Euler ODE step,y + h*f,p0-d2-w0-c0,0,2,0,0,0,0,0,E196_algorithmic
numerical,Runge-Kutta k1,h*f,p0-d1-w0-c0,0,1,0,0,0,0,0,E196_algorithmic
numerical,Runge-Kutta k2 (skeleton),h*f_mid,p0-d1-w0-c0,0,1,0,0,0,0,0,E196_algorithmic
numerical,Simpson's rule,h*(f_a + 4*f_m + f_b)/3,p0-d3-w0-c0,0,3,0,0,0,0,0,E196_algorithmic
numerical,Gauss-Legendre weight (n=2 example),2/((1 - x**2)*(2*x)**2),p0-d5-w0-c0,0,5,0,0,0,0,0,E196_algorithmic
numerical,Condition number proxy,norm_A*norm_Ainv,p0-d1-w0-c0,0,1,0,0,0,0,0,E196_algorithmic
numerical,Central finite difference,(f_plus - f_minus)/(2*h),p0-d3-w0-c0,0,3,0,0,0,0,0,E196_algorithmic
numerical,Lagrange basis polynomial (single term),(x - x_j)/(x_i - x_j),p0-d4-w0-c0,0,4,0,0,0,0,0,E196_algorithmic
numerical,Cubic spline single-segment,a + b*(x - x_i) + c*(x - x_i)**2 + d*(x - x_i)**3,p0-d5-w0-c0,0,5,0,0,0,0,0,E196_algorithmic
ml,Sigmoid,1/(1 + exp(-x)),p1-d1-w1-c0,1,1,1,0,0,1,0,E196_algorithmic
ml,GELU exact,x*(1 + erf(x/sqrt(2)))/2,p3-d5-w1-c0,3,5,1,0,0,0,1,E196_algorithmic
